reported,type,quantity,net_length,rope_length,latitude,longitude
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,408,48.0691666666667,-64.7672222222222
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,400,46.775,-61.8530555555556
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,400,46.785,-61.8530555555556
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,480,47.4919444444444,-62.5027777777778
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,450,47.7536111111111,-63.2538888888889
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,360,47.7308333333333,-63.6605555555556
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,47.4741666666667,-61.4997222222222
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,46.8702777777778,-63.9902777777778
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,180,47.4,-63.4166666666667
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,180,47.5222222222222,-63.4236111111111
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,120,44.8483333333333,-58.3888888888889
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,45.4502777777778,-59.8916666666667
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,900,45.7122222222222,-59.3241666666667
2019-05-04,CASIER/CAGE - TRAP/POT,0,0,0,47.5288888888889,-63.4247222222222
2019-05-02,CASIER/CAGE - TRAP/POT,2,0,0,45.2061111111111,-61.0552777777778
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,47.8319444444444,-61.3911111111111
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,47.8333333333333,-61.3805555555556
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,300,47.7072222222222,-62.6022222222222
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,0,47.5288888888889,-63.4247222222222
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,47.4280555555556,-63.2019444444444
2019-05-09,CASIER/CAGE - TRAP/POT,8,0,0,45.2272222222222,-60.9875
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,46.5833333333333,-64.0175
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,450,47.8972222222222,-65.14
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,47.3569444444444,-63.55
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,46.7122222222222,-61.4541666666667
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,46.7375,-61.4575
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,46.7075,-61.4719444444444
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,46.7144444444444,-61.4697222222222
2019-05-10,CASIER/CAGE - TRAP/POT,0,0,60,46.7213888888889,-61.4775
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,47.5558333333333,-63.4744444444444
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,47.6772222222222,-63.4166666666667
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,2,46.49,-62.4752777777778
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,500,47.8163888888889,-63.3380555555556
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,10,47.5877777777778,-63.3105555555556
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,300,48.1569444444444,-64.5316666666667
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,470,47.6355555555556,-63.345
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,600,48.1602777777778,-64.485
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,450,47.6502777777778,-63.4369444444444
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,450,46.9916666666667,-62.4913888888889
2019-05-10,CASIER/CAGE - TRAP/POT,0,0,210,47.3208333333333,-63.2694444444444
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,10,47.5025,-63.2083333333333
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,227,47.1741666666667,-62.6961111111111
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,47.2333333333333,-66.4333333333333
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,47.41,-63.2061111111111
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,540,46.7672222222222,-61.7847222222222
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,47.3902777777778,-62.0005555555556
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,47.4855555555556,-61.3702777777778
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,46.7383333333333,-63.8425
2019-05-11,CASIER/CAGE - TRAP/POT,0,0,0,45.9522222222222,-62.2847222222222
2019-05-11,CASIER/CAGE - TRAP/POT,2,0,0,46.7544444444444,-64.1236111111111
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,46.9588888888889,-62.8416666666667
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,46.8744444444444,-63.9941666666667
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,46.7366666666667,-63.9661111111111
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,600,46.7008333333333,-60.0447222222222
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,46.8836111111111,-63.9211111111111
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,48.0255555555556,-63.7736111111111
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,47.9577777777778,-63.7525
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,0,46.7552777777778,-63.9588888888889
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,45.9105555555556,-63.9025
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,420,47.5775,-63.5519444444444
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,46.7013888888889,-63.8336111111111
2019-05-13,CASIER/CAGE - TRAP/POT,5,0,180,47.4525,-61.3988888888889
