"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,"47°35'39"" N","60°33'29"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,"47°35'06"" N","60°33'51"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"45°11'735"" N","61°13'986"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"47°43'18"" N","61°33'20"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"47°43'20"" N","61°25'60"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,25,0,0,See Notes,See Notes
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"48°06'242"" N","64°37'226"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"47°59'791"" N","63°22'034"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"48°00'026"" N","63°13'935"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"48°02'838"" N","63°21'484"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"48°01'540"" N","63°14'388"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"48°01'282"" N","63°23'944"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"47°59'847"" N","63°22'204"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'138"" N","61°26'117"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,0,"47°44'74"" N","63°06'97"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,3,0,0,"45°33'513"" N","60°55'267"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,50,"46°45'163"" N","63°57'369"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,0,0,340,"48°07'391"" N","64°30'836"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,5,1,426,"46°28'222"" N","61°08'585"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,1,1,"46°20'894"" N","61°13'184"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,5,5,426,"46°22'914"" N","61°15'083"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"46°46'3314"" N","63°58'0220"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,5,0,0,See Notes,See Notes
2019-05-01,CASIER/CAGE - TRAP/POT,3,0,0,See Notes,See Notes
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,2,"47°27'22"" N","62°00'40"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"47°43'45"" N","61°33'04"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,120,"47°10'05"" N","63°05'30"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,,,"46°30'5"" N","62°06'2"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,2,0,73 brasses,"48°01'1"" N","63°43'18"" W"
2019-05-10,NON CONFIRME - UNCONFIRMED ,2,,,"##°##'##"" N","##°##'##"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,,,80,"47°44'912"" N","63°26'080"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,,,80,"47°47'353"" N","63°33'457"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,,0,"45°30'03"" N","60°55'91"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,6,,540,"46°12'630"" N","62°11'851"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,6,,540,"46°11'661"" N","62°12'817"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,6,,540,"46°13'071"" N","62°13'257"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,7,,600,"46°12'696"" N","62°12'111"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,6,,540,"46°12'726"" N","62°12'530"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,6,,540,"46°10'663"" N","62°09'151"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,6,,540,"46°10'821"" N","62°09'439"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,6,,540,"46°10'662"" N","62°08'042"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"45°05'218"" N","61°44'074"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"45°04'793"" N","61°40'286"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,2,0,264,"45°02'174"" N","61°39'576"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,,360,"48°03'175"" N","64°49'749"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,,,"45°12'34"" N","61°11'59"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,,470,"47°37'68"" N","63°20'42"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,0,"47°27'22"" N","62°00'40"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,,6,"45°07'97"" N","61°31'80"" W"
2019-05-15,CASIER/CAGE - TRAP/POT,2,0,0,See Notes,See Notes
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'308"" N","61°20'727"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,7,0,0,"46°29'07"" N","62°01'00"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,"47°33'30"" N","63°32'30"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°09'83"" N","63°57'01"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°27'97"" N","62°25'200"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'748"" N","63°42'130"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,"47°42'19"" N","61°35'07"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,16,0,4000,"46°45'668"" N","61°31'786"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,"47°11'43"" N","63°56'23"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,4,0,250,"47°27'725"" N","64°49'069"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,"14°523'04"" N","29°655'01"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"45°44'58"" N","62°15'16"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,225,"48°02'08"" N","63°34'38"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,70,"49°24'02"" N","79°56'08"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,500,"47°29'08"" N","62°24'28"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,"46°40'667"" N","63°49'530"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,"46°44'619"" N","63°58'075"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'136"" N","61°21'309"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,500,"47°54'67"" N","63°20'17"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,"47°47'153"" N","63°01'943"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,1,"14°216'40"" N","28°591'80"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,550,"47°57'00"" N","62°45'54"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"47°47'53"" N","61°14'19"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,"47°19'413"" N","61°35'760"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"47°18'327"" N","61°35'702"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,120,"48°06'658"" N","64°15'174"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,500,"47°54'633"" N","63°44'387"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"46°05'37"" N","61°59'49"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,420,"48°11'07"" N","63°26'84"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,420,"48°11'30"" N","63°28'15"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,60,See Notes,See Notes
2019-05-17,CASIER/CAGE - TRAP/POT,5,0,540,"45°54'216"" N","62°47'480"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,6,0,500,See Notes,See Notes
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°12'674"" N","64°59'209"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°11'171"" N","64°59'867"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,2,70,70,"45°53'03"" N","63°32'49"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"46°40'168"" N","63°50'768"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,6,0,684,"46°58'842"" N","63°53'835"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,120,"46°42'384"" N","63°49'538"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,"46°58'790"" N","62°50'135"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"46°46'59"" N","61°46'57"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,450,"46°45'01"" N","61°29'59"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,450,"46°50'91"" N","61°53'89"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,"46°51'93"" N","61°53'78"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"46°46'55"" N","61°45'59"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"46°44'59"" N","61°29'47"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,450,"46°46'22"" N","61°42'59"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,100,"47°65'00"" N","63°38'30"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"47°19'819"" N","62°04'421"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,600,"47°46'766"" N","63°01'775"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,600,"47°53'582"" N","62°45'795"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,"47°20'875"" N","63°13'254"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,0,"47°25'160"" N","63°19'067"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'05"" N","62°51'00"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,450,"47°34'474"" N","63°26'790"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,480,"47°35'39"" N","63°11'07"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,480,"47°30'41"" N","63°11'99"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,90,"45°43'06"" N","60°13'12"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,500,"47°09'17"" N","62°36'32"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,450,"47°49'83"" N","63°52'35"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,450,"47°49'65"" N","63°52'63"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,450,"47°43'04"" N","63°07'71"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,1,0,400,"47°11'43"" N","61°02'52"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,0,"47°33'38"" N","61°15'41"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,450,"47°32'37"" N","63°16'80"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,2,0,450,"47°27'99"" N","62°33'425"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"47°59'476"" N","63°16'089"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"48°06'24"" N","64°50'76"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'353"" N","63°59'731"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,1,0,0,"46°29'08"" N","62°11'05"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'6270"" N","64°00'4013"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,1,0,420,"47°24'02"" N","63°11'18"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,2,0,0,"46°49'53.45"" N","64°00'18.38"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-22,CASIER/CAGE - TRAP/POT,7,0,300,"48°01'701"" N","64°24'026"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,6,0,540,"46°12'625"" N","62°11'111"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,7,0,600,"48°02'391"" N","64°27'209"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,72,"47°00'327"" N","60°28'494"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,100,"47°00'816"" N","60°27'419"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"47°30'16"" N","61°55'91"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,60,See Notes,See Notes
2019-05-25,CASIER/CAGE - TRAP/POT,6,0,0,"46°29'02"" N","62°07'06"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,5,0,50,"47°40'500"" N","64°34'850"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°48'063"" N","61°33'324"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°31'700"" N","60°36'640"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°29'800"" N","60°34'950"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°30'800"" N","60°36'360"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°30'160"" N","60°35'865"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°32'074"" N","60°35'865"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,6,0,660,"46°30'10.2"" N","62°24'32.9"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,420,"47°18'991"" N","63°37'175"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,450,"47°13'329"" N","63°03'160"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,450,"47°37'493"" N","63°34'846"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,7,0,200,"47°59'49"" N","64°20'68"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°47'20"" N","61°20'53"" W"
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°47'20"" N","61°20'53"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,250,"46°26'870"" N","61°54'616"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,2,0,60,See Notes,See Notes
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,0,"46°52'312"" N","63°57'435"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,25,0,0,"45°12'066"" N","65°01'14"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,25,0,0,"47°16'569"" N","64°57'406"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,432,"47°06'67"" N","63°14'74"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"47°38'37"" N","62°33'35"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,300,"47°20'806"" N","63°06'656"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,"47°26'820"" N","63°28'710"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,"47°27'568"" N","63°30'271"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,"47°19'099"" N","63°35'95"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,450,"47°16'14"" N","63°37'81"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,450,"47°19'95"" N","63°29'98"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,20,0,600,"46°30'09"" N","60°26'00"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,5,0,426,"46°22'914"" N","61°15'083"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,5,0,312,"46°20'45.14"" N","60°17'48.89"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,21,0,1200,See Notes,See Notes
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"46°49'20"" N","64°00'40"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"45°12'28"" N","61°04'25"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,3,0,132,"46°18'32.93"" N","60°15'48.23"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,3,0,0,"46°04'649"" N","59°51'911"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,6,0,0,"47°61'24"" N","61°25'02"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,300,"47°25'30"" N","62°29'20"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,"47°04'20"" N","62°28'12"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,20,0,1200,"46°18'52.16"" N","60°12'13.41"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,4,0,75,"44°47'112"" N","62°45'753"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,4,0,0,See Notes,See Notes
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,"45°39'47"" N","61°44'43"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,380,"47°28'94"" N","62°30'84"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,450,"47°26'03"" N","62°34'50"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,360,"47°33'98"" N","62°29'69"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,480,"47°49'72"" N","62°58'24"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,480,"47°38'37"" N","62°28'67"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,480,"47°46'07"" N","62°31'19"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,100,100,"47°42'62"" N","62°37'11"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,2,0,0,"46°29'08"" N","62°06'07"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,3,0,0,"46°31'06"" N","62°03'00"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,450,"47°24'82.1"" N","63°30'57.6"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,450,"47°24'24.0"" N","63°32'31.3"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,6,0,0,"46°28'04"" N","62°03'09"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,3,0,0,"47°26'766"" N","64°51'349"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,450,"47°12'616"" N","63°03'701"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,450,"47°14'514"" N","63°04'551"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"47°24'249"" N","61°56'566"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"46°11'07"" N","62°07'08"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"46°30'171"" N","61°04'598"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,498,"47°56'79"" N","63°16'80"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,2,0,60,"46°15'6525"" N","61°20'1311"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,3,0,60,"46°15'1860"" N","61°19'9617"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,3,0,60,"46°15'3642"" N","61°17'9874"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,0,"46°15'3703"" N","61°18'5762"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"46°33'46.8"" N","60°23'60.8"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,0,"46°52'227"" N","63°58'801"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°43'944"" N","63°17'105"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,450,"47°49'354"" N","62°49'821"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,0,"46°11'03"" N","62°17'04"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,0,"47°20'517"" N","63°12'871"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"47°19'21"" N","63°10'71"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"47°25'18"" N","63°08'08"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,110,"46°65'52"" N","59°49'58"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,30,"46°21'886"" N","61°15'729"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,1,0,500,"47°59'45"" N","63°26'55"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,20,0,0,See Notes,See Notes
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,450,"47°49'89"" N","63°22'174"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,450,"47°09'566"" N","62°46'010"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,450,"47°07'937"" N","62°47'162"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"47°25'81"" N","61°56'07"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,0,"48°03'73"" N","61°46'20"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,450,"48°03'38"" N","61°47'35"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,450,"47°13'500"" N","63°34'577"" W"
N/A,CASIER/CAGE - TRAP/POT,2,0,600,See Notes,See Notes
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,420,See Notes,See Notes
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,300,See Notes,See Notes
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,420,See Notes,See Notes
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,0,"47°10'218"" N","62°42'224"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,400,"47°22'50"" N","63°07'30"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"46°54'01"" N","63°56'87"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"47°19'48"" N","62°02'44"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"47°29'636"" N","61°22'292"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,80,"47°10'40"" N","61°05'30"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,480,"47°16'42"" N","62°34'99"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,480,"47°16'74"" N","62°37'81"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,500,"47°47'19"" N","62°28'38"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,6,0,540,"46°11'091"" N","62°11'821"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,7,0,600,"46°11'161"" N","62°14'681"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"45°49'13"" N","63°15'41"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,2,0,50,"45°49'28"" N","63°13'62"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°39'992"" N","64°36'798"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°39'479"" N","64°45'552"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,450,"48°05'469"" N","63°30'149"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,450,"47°58'422"" N","63°21'052"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,450,"47°58'112"" N","63°21'280"" W"
N/A,CASIER/CAGE - TRAP/POT,7,0,0,See Notes,See Notes
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"49°01'09"" N","67°00'95"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"47°52'94"" N","64°28'37"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"47°58'647"" N","63°32'870"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,0,"47°29'957"" N","64°51'515"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"47°51'330"" N","63°47'742"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,5,0,540,"47°27'718"" N","61°28'255"" W"
2019-05-17,CASIER/CAGE - TRAP/POT,5,0,540,"47°27'042"" N","61°27'559"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,450,"46°49'587"" N","62°13'086"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,450,"46°46'579"" N","61°32'110"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"47°50'26"" N","65°04'76"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,400,"47°21'324"" N","63°33'557"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,450,"47°25'43"" N","62°40'07"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,"45°49'13"" N","63°15'41"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,2,0,50,"45°49'28"" N","63°13'62"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,"46°29'62"" N","62°18'61"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,12,0,246,"46°34'332"" N","63°42'132"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"45°11'44"" N","61°09'27"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"45°12'05"" N","61°11'10"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-26,CASIER/CAGE - TRAP/POT,1,0,0,"46°29'36"" N","63°17'88"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,4,0,288,See Notes,See Notes
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,0,"45°24'80"" N","61°01'39"" W"
2019-06-02,CASIER/CAGE - TRAP/POT,1,0,0,"45°29'111"" N","61°04'320"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,432,"47°30'87"" N","62°34'75"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,432,"47°30'58"" N","62°34'02"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,450,"47°31'00"" N","63°45'69"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,450,"47°35'36"" N","63°37'93"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,450,"47°36'75"" N","63°36'48"" W"
2019-05-20,CASIER/CAGE - TRAP/POT,26,0,3360,See Notes,See Notes
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'241"" N","63°59'579"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"46°54'30"" N","63°54'58"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'538"" N","63°58'956"" W"
