"TARGET NAME";"LAT";"LON";"CLASS"
"Sonar Contact 285";47.9532622988593;-65.168261910498;"casier"
"Sonar Contact 286";47.9525233039758;-65.164365054072;"casier"
"Sonar Contact 287";47.9526638271205;-65.1628423020008;
"Sonar Contact 288";47.9515384704313;-65.16228573344;
"Sonar Contact 289";47.9523839341675;-65.1615639463573;
"Sonar Contact 290";47.9523948903883;-65.160061089291;"casier"
"Sonar Contact 291";47.9526370805578;-65.1590486667677;
"Sonar Contact 292";47.9526222053415;-65.1590415192697;
"Sonar Contact 293";47.9525094827915;-65.15759352726;
"Sonar Contact 294";47.9524861537821;-65.1576434676363;
"Sonar Contact 295";47.9511923666032;-65.1572947322763;
"Sonar Contact 296";47.9515770314582;-65.1555406646019;
"Sonar Contact 297";47.9525118955466;-65.1526148714315;"casier"
"Sonar Contact 298";47.9524932956719;-65.1524630330954;"casier"
"Sonar Contact 299";47.9509520265487;-65.1490990819286;"casier"
"Sonar Contact 300";47.9508947077545;-65.1483759851124;
"Sonar Contact 301";47.9839547159522;-65.128298386516;
"Sonar Contact 302";47.983947746079;-65.1282204747399;
"Sonar Contact 303";47.9827842267963;-65.1284165907015;
"Sonar Contact 304";47.9824957151187;-65.1234000260029;"casier"
"Sonar Contact 305";47.9890412496972;-65.062744440882;
"Sonar Contact 306";47.9890680945912;-65.0627421528168;
"Sonar Contact 307";47.9913759808556;-65.0637147714304;
"Sonar Contact 308";47.991966695713;-65.0640638705253;"casier"
"Sonar Contact 309";47.9930319408612;-65.0638651018905;"casier"
"Sonar Contact 310";47.997169404046;-65.0669853413033;"casier"
"Sonar Contact 311";48.0021503740554;-65.0726931531004;
"Sonar Contact 312";48.0201493871055;-65.050977259763;"casier"
"Sonar Contact 313";48.0201536927241;-65.0508608083792;"casier"
"Sonar Contact 314";48.0202530667593;-65.0505965820883;
"Sonar Contact 315";48.0201506421754;-65.0499008972396;
"Sonar Contact 316";48.0201450120986;-65.0498113449094;
"Sonar Contact 317";48.0209616360702;-65.0476820966425;
"Sonar Contact 318";48.0231319050248;-65.0328804977912;
"Sonar Contact 319";48.0219068337283;-65.0325867140044;
"Sonar Contact 320";48.0218976851376;-65.03252074483;
"Sonar Contact 321";48.0229597546563;-65.0323813437613;
"Sonar Contact 322";48.0223307229208;-65.029813678156;
"Sonar Contact 323";48.0210778591997;-65.0296066701277;"casier"
"Sonar Contact 324";48.0208779486074;-65.0292568128778;"casier"
"Sonar Contact 325";48.0242588045016;-65.0215390491869;"casier"
"Sonar Contact 326";48.0234013278208;-65.021153423695;
"Sonar Contact 327";48.0235395875655;-65.0209112328179;
"Sonar Contact 328";48.0245836953177;-65.0203650814089;"casier"
"Sonar Contact 329";48.0244312846451;-65.0178024487538;"casier"
"Sonar Contact 330";48.0257758293044;-65.0169546591807;"casier"
"Sonar Contact 331";48.0258308066893;-65.0163065368889;
"Sonar Contact 332";48.0261337247501;-65.0158328694726;
"Sonar Contact 333";48.0262019620503;-65.0146786890153;
"Sonar Contact 334";48.0263040924104;-65.0153694342024;
"Sonar Contact 335";48.0265144259998;-65.0139756381615;
"Sonar Contact 336";48.0253166317839;-65.0135303162206;"casier"
"Sonar Contact 337";48.0266305633522;-65.0131270143528;
"Sonar Contact 338";48.02690098149;-65.0121602978942;"casier"
"Sonar Contact 339";48.026618293865;-65.0118812954244;"casier"
"Sonar Contact 340";48.0262955553958;-65.011419517212;
"Sonar Contact 341";48.0260102473196;-65.0109038569614;
"Sonar Contact 342";48.027295812579;-65.0106171976076;"casier"
"Sonar Contact 343";48.0262922597252;-65.0101910149544;
"Sonar Contact 344";48.0277010713617;-65.0095537806241;
"Sonar Contact 345";48.0462800381369;-65.0052836540928;"casier"
"Sonar Contact 346";48.0458517160151;-64.9998388174847;
"Sonar Contact 347";48.0457772555145;-64.999964865425;
"Sonar Contact 348";48.0453375660286;-64.9978709033968;
"Sonar Contact 349";48.046021768622;-64.9945667518315;
"Sonar Contact 350";48.0454453705017;-64.9948926827215;
"Sonar Contact 351";48.0453143489357;-64.9952669881375;
"Sonar Contact 352";48.0451022732067;-64.9940655425097;"casier"
"Sonar Contact 353";48.0653265058829;-64.9355996627959;"casier"
"Sonar Contact 354";48.066587648052;-64.9323230358356;
"Sonar Contact 355";48.0668075763116;-64.9311692877003;
"Sonar Contact 356";48.0668131605248;-64.9315293601549;
"Sonar Contact 357";48.0652888616027;-64.9285589962565;"casier"
"Sonar Contact 358";48.0661283321228;-64.9241937951962;
"Sonar Contact 359";48.0651401531447;-64.9235082245319;
"Sonar Contact 360";48.0651219000793;-64.9232892263305;
"Sonar Contact 361";48.0649258843009;-64.9227417674823;
"Sonar Contact 362";48.0662885018483;-64.9218691887526;
"Sonar Contact 363";48.0662336648668;-64.9192028094264;
"Sonar Contact 364";48.0667791858302;-64.914405739582;
"Sonar Contact 365";48.0680721423092;-64.8953809832142;
"Sonar Contact 366";48.0253358626735;-65.0190279094634;
"Sonar Contact 367";48.0259732933899;-65.0150104483365;
"Sonar Contact 368";48.0264124037007;-65.0081982544597;"Filet"
"Sonar Contact 369";48.0471589780075;-65.0036078748415;
"Sonar Contact 370";48.0453740110593;-64.9949998671472;
"Sonar Contact 371";48.0664864593605;-64.9255069031632;
"Sonar Contact 372";48.0668242964669;-64.9257795525111;
"Sonar Contact 373";48.0680557021353;-64.8910837283581;
"Sonar Contact 374";48.067068104409;-64.8908069524517;
"Sonar Contact 375";48.0567051979876;-64.8593521301322;
"Sonar Contact 376";48.056655225366;-64.8593295570733;
"Sonar Contact 377";48.0565054458572;-64.8592711775173;"casier"
"Sonar Contact 378";48.0562528605891;-64.8594771564486;
"Sonar Contact 379";48.055156530121;-64.8577000882593;"casier"
"Sonar Contact 380";48.0547859442337;-64.8584471952392;
"Sonar Contact 381";48.0513967709709;-64.8591554726865;
"Sonar Contact 382";48.0496928165829;-64.8637979827376;"casier"
"Sonar Contact 383";48.0485731660075;-64.8629324401451;"casier"
"Sonar Contact 384";48.0467289955362;-64.8637403950543;"casier"
"Sonar Contact 385";48.0452761428252;-64.8664200152266;
"Sonar Contact 386";48.0430774143203;-64.8646866768223;"casier"
"Sonar Contact 387";48.0425219904013;-64.8670288789101;"casier"
"Sonar Contact 388";48.0417602734404;-64.8650815919294;
"Sonar Contact 389";48.0409892351706;-64.8658965900432;"casier"
"Sonar Contact 390";48.0407080310078;-64.8680135229217;
"Sonar Contact 391";48.0406523209295;-64.8675004255805;
"Sonar Contact 392";48.040455606326;-64.867446226975;
"Sonar Contact 393";48.0404889436961;-64.8674432275174;
"Sonar Contact 394";48.0392407276534;-64.8684368996409;
"Sonar Contact 395";48.0390871385502;-64.8678332880328;
"Sonar Contact 396";48.0391035104834;-64.8678096476508;
"Sonar Contact 397";48.0384485235782;-64.867978498522;
"Sonar Contact 398";48.0384523070109;-64.8684471043414;
"Sonar Contact 399";48.038137167368;-64.8699005653962;
"Sonar Contact 400";48.0368916561865;-64.8695829184029;"casier"
"Sonar Contact 401";48.0361528113994;-64.8708132373256;"casier"
"Sonar Contact 402";48.0334813226113;-64.8730411714314;
"Sonar Contact 403";48.0337544122883;-64.8709198399715;
"Sonar Contact 404";48.052225543873;-64.8212691720732;
"Sonar Contact 405";48.0516200253631;-64.8194285754298;"casier"
"Sonar Contact 406";48.0543417631277;-64.8187626994923;
"Sonar Contact 407";48.0627393770017;-64.8222172200248;"casier"
"Sonar Contact 408";48.0636030233938;-64.820115720127;
"Sonar Contact 409";48.0649456414598;-64.8225413528271;
"Sonar Contact 410";48.0649455992704;-64.8205188390472;
"Sonar Contact 411";48.0655695142615;-64.8206109269615;
"Sonar Contact 412";48.0652732724039;-64.8228262731161;
"Sonar Contact 413";48.096330595462;-64.828746220336;
"Sonar Contact 414";48.0963804208986;-64.8265512649482;
"Sonar Contact 415";48.0972376683841;-64.8262463666348;
"Sonar Contact 416";48.1007855434708;-64.8274455160531;
"Sonar Contact 417";48.1050754640265;-64.8223399102973;
